Question,Location,Answer,Count
What is the main source of drinking water for members of your household?,Sigor,Rain water collection,18
What is the main source of drinking water for members of your household?,Sigor,Tubewell/borehole (& pump),0
What is the main source of drinking water for members of your household?,Sigor,"Surface water (e.g. river, pond)",43
What is the main source of drinking water for members of your household?,Sigor,Unprotected dug well,2
What is the main source of drinking water for members of your household?,Sigor,Tanker truck,0
What is the main source of drinking water for members of your household?,Sigor,Public tap/standpipe,3
What is the main source of drinking water for members of your household?,Sigor,Piped water,16
What is the main source of drinking water for members of your household?,Sigor,Unprotected spring,7
What is the main source of drinking water for members of your household?,Sigor,Protected dug well,1
What is the main source of drinking water for members of your household?,Sigor,Small water vendor,0
What is the main source of drinking water for members of your household?,Sigor,Other,0
What is the main source of drinking water for members of your household?,Sigor,Protected spring,8
What is the main source of drinking water for members of your household?,Siongiroi,Rain water collection,24
What is the main source of drinking water for members of your household?,Siongiroi,Tubewell/borehole (& pump),6
What is the main source of drinking water for members of your household?,Siongiroi,"Surface water (e.g. river, pond)",23
What is the main source of drinking water for members of your household?,Siongiroi,Unprotected dug well,16
What is the main source of drinking water for members of your household?,Siongiroi,Tanker truck,0
What is the main source of drinking water for members of your household?,Siongiroi,Public tap/standpipe,0
What is the main source of drinking water for members of your household?,Siongiroi,Piped water,14
What is the main source of drinking water for members of your household?,Siongiroi,Unprotected spring,1
What is the main source of drinking water for members of your household?,Siongiroi,Protected dug well,0
What is the main source of drinking water for members of your household?,Siongiroi,Small water vendor,0
What is the main source of drinking water for members of your household?,Siongiroi,Other,0
What is the main source of drinking water for members of your household?,Siongiroi,Protected spring,0
What is the main source of drinking water for members of your household?,Singorwet,Rain water collection,8
What is the main source of drinking water for members of your household?,Singorwet,Tubewell/borehole (& pump),0
What is the main source of drinking water for members of your household?,Singorwet,"Surface water (e.g. river, pond)",9
What is the main source of drinking water for members of your household?,Singorwet,Unprotected dug well,7
What is the main source of drinking water for members of your household?,Singorwet,Tanker truck,0
What is the main source of drinking water for members of your household?,Singorwet,Public tap/standpipe,0
What is the main source of drinking water for members of your household?,Singorwet,Piped water,1
What is the main source of drinking water for members of your household?,Singorwet,Unprotected spring,16
What is the main source of drinking water for members of your household?,Singorwet,Protected dug well,5
What is the main source of drinking water for members of your household?,Singorwet,Small water vendor,0
What is the main source of drinking water for members of your household?,Singorwet,Other,0
What is the main source of drinking water for members of your household?,Singorwet,Protected spring,13
