Question,Location,Answer,Count
What is your main mode of human waste disposal?,Sigor,Pit latrine (covered/uncovered),95
What is your main mode of human waste disposal?,Sigor,Septic tank,0
What is your main mode of human waste disposal?,Sigor,Bush,2
What is your main mode of human waste disposal?,Sigor,Other,1
What is your main mode of human waste disposal?,Sigor,Vip pit latrine,0
What is your main mode of human waste disposal?,Sigor,Main sewer,0
What is your main mode of human waste disposal?,Siongiroi,Pit latrine (covered/uncovered),80
What is your main mode of human waste disposal?,Siongiroi,Septic tank,0
What is your main mode of human waste disposal?,Siongiroi,Bush,2
What is your main mode of human waste disposal?,Siongiroi,Other,0
What is your main mode of human waste disposal?,Siongiroi,Vip pit latrine,2
What is your main mode of human waste disposal?,Siongiroi,Main sewer,0
What is your main mode of human waste disposal?,Singorwet,Pit latrine (covered/uncovered),54
What is your main mode of human waste disposal?,Singorwet,Septic tank,0
What is your main mode of human waste disposal?,Singorwet,Bush,0
What is your main mode of human waste disposal?,Singorwet,Other,0
What is your main mode of human waste disposal?,Singorwet,Vip pit latrine,5
What is your main mode of human waste disposal?,Singorwet,Main sewer,0
What is your main mode of human waste disposal?,Silibwet Township,Pit latrine (covered/uncovered),74
What is your main mode of human waste disposal?,Silibwet Township,Septic tank,0
What is your main mode of human waste disposal?,Silibwet Township,Bush,0
What is your main mode of human waste disposal?,Silibwet Township,Other,1
What is your main mode of human waste disposal?,Silibwet Township,Vip pit latrine,1
What is your main mode of human waste disposal?,Silibwet Township,Main sewer,0
What is your main mode of human waste disposal?,Kong sis,Pit latrine (covered/uncovered),80
What is your main mode of human waste disposal?,Kong sis,Septic tank,0
What is your main mode of human waste disposal?,Kong sis,Bush,0
What is your main mode of human waste disposal?,Kong sis,Other,0
What is your main mode of human waste disposal?,Kong sis,Vip pit latrine,0
What is your main mode of human waste disposal?,Kong sis,Main sewer,0
What is your main mode of human waste disposal?,Nyangores,Pit latrine (covered/uncovered),91
What is your main mode of human waste disposal?,Nyangores,Septic tank,1
What is your main mode of human waste disposal?,Nyangores,Bush,3
What is your main mode of human waste disposal?,Nyangores,Other,1
What is your main mode of human waste disposal?,Nyangores,Vip pit latrine,5
What is your main mode of human waste disposal?,Nyangores,Main sewer,0
What is your main mode of human waste disposal?,Mutarakwa,Pit latrine (covered/uncovered),56
What is your main mode of human waste disposal?,Mutarakwa,Septic tank,0
What is your main mode of human waste disposal?,Mutarakwa,Bush,0
What is your main mode of human waste disposal?,Mutarakwa,Other,0
What is your main mode of human waste disposal?,Mutarakwa,Vip pit latrine,2
What is your main mode of human waste disposal?,Mutarakwa,Main sewer,0
What is your main mode of human waste disposal?,Chebunyo,Pit latrine (covered/uncovered),85
What is your main mode of human waste disposal?,Chebunyo,Septic tank,0
What is your main mode of human waste disposal?,Chebunyo,Bush,7
What is your main mode of human waste disposal?,Chebunyo,Other,0
What is your main mode of human waste disposal?,Chebunyo,Vip pit latrine,0
What is your main mode of human waste disposal?,Chebunyo,Main sewer,0
What is your main mode of human waste disposal?,Ndaraweta,Pit latrine (covered/uncovered),59
What is your main mode of human waste disposal?,Ndaraweta,Septic tank,0
What is your main mode of human waste disposal?,Ndaraweta,Bush,0
What is your main mode of human waste disposal?,Ndaraweta,Other,0
What is your main mode of human waste disposal?,Ndaraweta,Vip pit latrine,1
What is your main mode of human waste disposal?,Ndaraweta,Main sewer,0
What is your main mode of human waste disposal?,Cheseon,Pit latrine (covered/uncovered),86
What is your main mode of human waste disposal?,Cheseon,Septic tank,0
What is your main mode of human waste disposal?,Cheseon,Bush,0
What is your main mode of human waste disposal?,Cheseon,Other,0
What is your main mode of human waste disposal?,Cheseon,Vip pit latrine,5
What is your main mode of human waste disposal?,Cheseon,Main sewer,1
What is the trekking distance to the current main water source?,Sigor,Less than 500m (Less than 15 minutes),76
What is the trekking distance to the current main water source?,Sigor,More than 2km (1-2hrs),6
What is the trekking distance to the current main water source?,Sigor,More than 1 km-less than 2km (30min-1 Hour),16
What is the trekking distance to the current main water source?,Sigor, ,0
What is the trekking distance to the current main water source?,Siongiroi,Less than 500m (Less than 15 minutes),75
What is the trekking distance to the current main water source?,Siongiroi,More than 2km (1-2hrs),1
What is the trekking distance to the current main water source?,Siongiroi,More than 1 km-less than 2km (30min-1 Hour),6
What is the trekking distance to the current main water source?,Siongiroi, ,2
What is the trekking distance to the current main water source?,Singorwet,Less than 500m (Less than 15 minutes),51
What is the trekking distance to the current main water source?,Singorwet,More than 2km (1-2hrs),1
What is the trekking distance to the current main water source?,Singorwet,More than 1 km-less than 2km (30min-1 Hour),6
What is the trekking distance to the current main water source?,Singorwet, ,1
What is the trekking distance to the current main water source?,Silibwet Township,Less than 500m (Less than 15 minutes),71
What is the trekking distance to the current main water source?,Silibwet Township,More than 2km (1-2hrs),2
What is the trekking distance to the current main water source?,Silibwet Township,More than 1 km-less than 2km (30min-1 Hour),3
What is the trekking distance to the current main water source?,Silibwet Township, ,0
What is the trekking distance to the current main water source?,Kong sis,Less than 500m (Less than 15 minutes),77
What is the trekking distance to the current main water source?,Kong sis,More than 2km (1-2hrs),2
What is the trekking distance to the current main water source?,Kong sis,More than 1 km-less than 2km (30min-1 Hour),1
What is the trekking distance to the current main water source?,Kong sis, ,0
What is the trekking distance to the current main water source?,Nyangores,Less than 500m (Less than 15 minutes),80
What is the trekking distance to the current main water source?,Nyangores,More than 2km (1-2hrs),6
What is the trekking distance to the current main water source?,Nyangores,More than 1 km-less than 2km (30min-1 Hour),12
What is the trekking distance to the current main water source?,Nyangores, ,3
What is the trekking distance to the current main water source?,Mutarakwa,Less than 500m (Less than 15 minutes),52
What is the trekking distance to the current main water source?,Mutarakwa,More than 2km (1-2hrs),1
What is the trekking distance to the current main water source?,Mutarakwa,More than 1 km-less than 2km (30min-1 Hour),2
What is the trekking distance to the current main water source?,Mutarakwa, ,3
What is the trekking distance to the current main water source?,Chebunyo,Less than 500m (Less than 15 minutes),78
What is the trekking distance to the current main water source?,Chebunyo,More than 2km (1-2hrs),4
What is the trekking distance to the current main water source?,Chebunyo,More than 1 km-less than 2km (30min-1 Hour),9
What is the trekking distance to the current main water source?,Chebunyo, ,1
What is the trekking distance to the current main water source?,Ndaraweta,Less than 500m (Less than 15 minutes),50
What is the trekking distance to the current main water source?,Ndaraweta,More than 2km (1-2hrs),1
What is the trekking distance to the current main water source?,Ndaraweta,More than 1 km-less than 2km (30min-1 Hour),7
What is the trekking distance to the current main water source?,Ndaraweta, ,2
What is the trekking distance to the current main water source?,Cheseon,Less than 500m (Less than 15 minutes),65
What is the trekking distance to the current main water source?,Cheseon,More than 2km (1-2hrs),15
What is the trekking distance to the current main water source?,Cheseon,More than 1 km-less than 2km (30min-1 Hour),10
What is the trekking distance to the current main water source?,Cheseon, ,2
Information on the importance of hand washing with soap has never been given to you,Sigor,Maybe,0
Information on the importance of hand washing with soap has never been given to you,Sigor,Yes,40
Information on the importance of hand washing with soap has never been given to you,Sigor,Don't Know,0
Information on the importance of hand washing with soap has never been given to you,Sigor,No,58
Information on the importance of hand washing with soap has never been given to you,Siongiroi,Maybe,0
Information on the importance of hand washing with soap has never been given to you,Siongiroi,Yes,51
Information on the importance of hand washing with soap has never been given to you,Siongiroi,Don't Know,0
Information on the importance of hand washing with soap has never been given to you,Siongiroi,No,33
Information on the importance of hand washing with soap has never been given to you,Singorwet,Maybe,1
Information on the importance of hand washing with soap has never been given to you,Singorwet,Yes,35
Information on the importance of hand washing with soap has never been given to you,Singorwet,Don't Know,1
Information on the importance of hand washing with soap has never been given to you,Singorwet,No,22
Information on the importance of hand washing with soap has never been given to you,Silibwet Township,Maybe,3
Information on the importance of hand washing with soap has never been given to you,Silibwet Township,Yes,31
Information on the importance of hand washing with soap has never been given to you,Silibwet Township,Don't Know,0
Information on the importance of hand washing with soap has never been given to you,Silibwet Township,No,42
Information on the importance of hand washing with soap has never been given to you,Kong sis,Maybe,0
Information on the importance of hand washing with soap has never been given to you,Kong sis,Yes,46
Information on the importance of hand washing with soap has never been given to you,Kong sis,Don't Know,0
Information on the importance of hand washing with soap has never been given to you,Kong sis,No,34
Information on the importance of hand washing with soap has never been given to you,Nyangores,Maybe,0
Information on the importance of hand washing with soap has never been given to you,Nyangores,Yes,53
Information on the importance of hand washing with soap has never been given to you,Nyangores,Don't Know,0
Information on the importance of hand washing with soap has never been given to you,Nyangores,No,48
Information on the importance of hand washing with soap has never been given to you,Mutarakwa,Maybe,1
Information on the importance of hand washing with soap has never been given to you,Mutarakwa,Yes,16
Information on the importance of hand washing with soap has never been given to you,Mutarakwa,Don't Know,0
Information on the importance of hand washing with soap has never been given to you,Mutarakwa,No,41
Information on the importance of hand washing with soap has never been given to you,Chebunyo,Maybe,0
Information on the importance of hand washing with soap has never been given to you,Chebunyo,Yes,39
Information on the importance of hand washing with soap has never been given to you,Chebunyo,Don't Know,0
Information on the importance of hand washing with soap has never been given to you,Chebunyo,No,53
Information on the importance of hand washing with soap has never been given to you,Ndaraweta,Maybe,0
Information on the importance of hand washing with soap has never been given to you,Ndaraweta,Yes,26
Information on the importance of hand washing with soap has never been given to you,Ndaraweta,Don't Know,1
Information on the importance of hand washing with soap has never been given to you,Ndaraweta,No,33
Information on the importance of hand washing with soap has never been given to you,Cheseon,Maybe,0
Information on the importance of hand washing with soap has never been given to you,Cheseon,Yes,37
